,"LISTA DE PRECIOS DELTRON"

,"Generada el :"2020-04-25 08:36:13
,"Almacen(es) :,'PRINCIPAL-CORPAC','Otros Alm.Lima'<FONT color='Red'><a href='#MSG_SURQ_LISTA' style='text-decoration:none' class='especial'>(*)</a></FONT>"
,"Almacen(es) :Los precios incluyen el IGV"
,"TIPO DE CAMBIO :3.390"
,"__________________________________"


"_______________","_______________","__________________________________","__________"
" ","CODIGO","ACC, MUEBLES DE COMPUTO","STOCK","PREC PUBLICO US $","FLETE ","MARCA"
"accesorios ensamblaje","accorgbledprok","kit de expansión corsair lighting pro led rgb, iluminación direccional individual.[@@",14,27.00, ,""," ","corsair"
"accesorios ensamblaje","accostakitbb","kit de cables individuales corsair starter tipo 4(gen. 3), para psu series rmi, rmx, ",2,41.00, ,""," ","corsair"
"accesorios ensamblaje","accostakitrb","kit de cables individuales corsair starter tipo 4(gen. 3), para psu series rmi, rmx, ",4,41.00, ,""," ","corsair"
"accesorios ensamblaje","accostakitwb","kit de cables individuales corsair starter tipo 4(gen. 3), para psu series rmi, rmx, ",2,41.00, ,""," ","corsair"
"accesorios ensamblaje","acctbmounstogre","protector para tablet advance, tr3785, 7, verde.[@@@]",>20,6.39, ,""," ","advance computer corp"
"accesorios ensamblaje","acctbmounstoran","protector para tablet advance pr3548, 7 .[@@@]",2,7.00, ,""," ","advance computer corp"
"accesorios ensamblaje","acecsbracklp-o","bracket lowprofile, para tarjeta de video con puerto vga.<br><br><b>*** producto oem ",>20,0.70, ,""," ","zz otras marcas"
"accesorios ensamblaje","achpgm110aa","kit de cables pci esata hp (gm110aa), para convertir 2 puertos sata internos en exter",14,15.70, ,""," ","hp-compaq comercial"
"accesorios ensamblaje","actt045cn1otnc1","cable riser thermaltake tt premium, pci-e 3.0 x16, 30 cm, negro, hasta 8 gbps.[@@@]",1,51.40, ,""," ","thermaltake"
"_______________","_______________","__________________________________","__________"
" ","CODIGO","ACCESORIOS PARA AUTOMOVIL","STOCK","PREC PUBLICO US $","FLETE ","MARCA"
"accesorios para automovil","accpachphone","receptor magnético wireless para carga b105, parasmartphone android.[@@@]",7,6.63, ,""," ","intense devices"
"_______________","_______________","__________________________________","__________"
" ","CODIGO","ACCESORIOS PARA PS4","STOCK","PREC PUBLICO US $","FLETE ","MARCA"
"accesorios para ps4","mmhxcpdeg","estación de carga hyperx chargeplay duo para controles ps4, negro, 100-240v.[@@@]carg",>20,17.50, ,""," ","kingston"
"_______________","_______________","__________________________________","__________"
" ","CODIGO","ACCESORIOS USB","STOCK","PREC PUBLICO US $","FLETE ","MARCA"
"accesorios usb","accsti85-0200r","accesorio symbol usb synapse cable, dimensiones 5.08 x 2.5 cm x 2.5 cm, alimentación ",>20,44.20, ,""," ","zz otras marcas"
"accesorios usb","acctlu280010st","estación de carga tripp-lite u280-010-st, 10 puertos usb, 5v / 2.4a.[@@@]protege cont",1,59.00, ,""," ","tripp-lite"
"accesorios usb","accusb3to2","cable adaptador interno advance usb3to2, de usb 3.0 a usb 2.0.[@@@]",>20,1.29, ,""," ","advance computer corp"
"accesorios usb","accusb3to2-oem","cable adaptador interno advance usb3to2, de usb 3.0 a usb 2.0.[@@@]",1,1.29, ,""," ","advance computer corp"
"accesorios usb","acczz169610coem","cable de depuración de alta velocidad 3.0[@@@]este cable es solo para depuración y pr",2,29.00, ,""," ","zz otras marcas"
"_______________","_______________","__________________________________","__________"
" ","CODIGO","ACCESORIOS, KVM SWITCH","STOCK","PREC PUBLICO US $","FLETE ","MARCA"
"accesorios, kvm switch","acapcap5717","rack de consola para lcd apc, tipo trackball ps/2 touchpad/usb mouse, tamaño del pane",3,839.00, ,""," ","apc american power conver"
"accesorios, kvm switch","acapcap5808","consola lcd para rack apc ap5808, 17, con switchanálogo kvm 8 puertos.[@@@]",3,1299.00, ,""," ","apc american power conver"
"accesorios, kvm switch","accapcap5253","cable kvm apc ap5253, usb, 1.8 mts[@@@]",>20,49.00, ,""," ","apc american power conver"
"accesorios, kvm switch","actlb020-008-17","consola multiplexora <b>kvm tripp-lite</b> b020-008-17, puertos: 8, puerto pc/servido",3,1069.00, ,""," ","tripp-lite"
"accesorios, kvm switch","actlb04000819","consola tripp-lite b040-008-19, lcd 19, kvm 8 puertos, para montar en rack 1u.[@@@]",1,959.00, ,""," ","tripp-lite"
"accesorios, kvm switch","actlp780-006","cable para kvm tripp-lite p780-006, hd15 / usb / ps/2 (teclado/mouse), 1.83 mts.[@@@]",3,14.60, ,""," ","tripp-lite"
"accesorios, kvm switch","actpp776-006","cable tripp-lite p776-006, longitud de cable 1.80mts, conectores 2 vga/ usb para mult",2,19.50, ,""," ","tripp-lite"
"_______________","_______________","__________________________________","__________"
" ","CODIGO","AIRE ACOND PRECISION, ACC","STOCK","PREC PUBLICO US $","FLETE ","MARCA"
"aire acond precision, acc","acctlsrcool7kdu","juego de ducto de descarga smartrack kit.[@@@]",1,121.00, ,""," ","tripp-lite"
"_______________","_______________","__________________________________","__________"
" ","CODIGO","AIRE ACOND. DE PRECISION","STOCK","PREC PUBLICO US $","FLETE ","MARCA"
"aire acond. de precision","actlsrxcool12k","sistema de enfriamiento portátil smartrack tripp-lite - 12,000 btu, 230v.[@@@]panel d",1,569.00, ,""," ","tripp-lite"
"_______________","_______________","__________________________________","__________"
" ","CODIGO","ASTERISK, ACCESORIOS","STOCK","PREC PUBLICO US $","FLETE ","MARCA"
"asterisk, accesorios","nwpankxhts32la","central hibrida panasonic kx-hts32, 12 extensiones sip, wi-fi, rj-45, usb.[@@@]cpu mi",1,310.00, ,""," ","panasonic"
"asterisk, accesorios","swdgchr-193-01","dialogic hmp lifecycle handling fee[@@@]",1,254.00, ,""," ","zz otras marcas"
"_______________","_______________","__________________________________","__________"
" ","CODIGO","ASTERISK, TELEFONOS","STOCK","PREC PUBLICO US $","FLETE ","MARCA"
"asterisk, telefonos","nwpankxhdv130xb","teléfono ip panasonic kx-hdv130, 2 cuentas sip, lcd 2.3, rj-45 poe, audio hd.[@@@]in",>20,43.50, ,""," ","panasonic"
"asterisk, telefonos","nwpankxnt511ab","teléfono ip panasonic kx-nt511, pantalla lcd, 1 linea, rj-45, audio.[@@@]pantalla lcd",4,63.00, ,""," ","panasonic"
"asterisk, telefonos","nwpankxt7700xb","telefono analogico kx-t7700x-b",>20,11.00, ,""," ","panasonic"
"asterisk, telefonos","nwpankxt7705xb","telefono panasonic kx-t7705, 2 lineas, pantalla lcd, audio.[@@@]2 lineas, identificad",8,25.00, ,""," ","panasonic"
"_______________","_______________","__________________________________","__________"
" ","CODIGO","BAREBONES PARA NOTEBOOK","STOCK","PREC PUBLICO US $","FLETE ","MARCA"
"barebones para notebook","bbnbecsmb40ii7","barebone ecs mb40ii7, pantalla 14.0 led hd widescreen, resolución 1366x768, procesad",1,173.85, ,""," ","advance computer corp"
"barebones para notebook","bbnbpgta35fb-b","barebone advance a35fb, pantalla 15.6 lvsd led backlight, resolución 1366 x 768, sop",1,248.30, ,""," ","advance computer corp"
"barebones para notebook","bbnbqat10-b","barebone notebook compal qat10, 14 led, intel core i3-3217u (1.80 ghz, 3 mb caché l3",1,386.00, ,""," ","advance computer corp"
"barebones para notebook","bbnbvbl31-b","barebone compal vbl31, 14, led backlight lcd hd,1366x768, ddr3,sata 2.5.[@@@]soport",1,253.53, ,""," ","advance computer corp"
"barebones para notebook","nban6412","barebone notebook compal jht00, lcd tft 14.1 wxga, soporta procesador intel penryn, ",1,304.60, ,""," ","zz otras marcas"
"barebones para notebook","nbcpljhl90","barebone compal jhl90, lcd tft 15.4 wxga, soport a procesador intel penryn: dual-cor",2,410.35, ,""," ","advance computer corp"
"barebones para notebook","nbcplksw91","barebone compal ksw91, lcd tft 15.4, soporta procesador intel merom-celeron m, sopor",1,275.48, ,""," ","advance computer corp"
"_______________","_______________","__________________________________","__________"
" ","CODIGO","BAREBONES PARA PC","STOCK","PREC PUBLICO US $","FLETE ","MARCA"
"barebones para pc","bbadvai215","barebone all-in-one advance, pantalla 21.5 lcd tn 1920 x 1080[@@@]",14,500.00, ,""," ","advance computer corp"
"barebones para pc","bbadvku3002","barebone advance liva one, intel core lga 1151, ddr4, wireless 802.11, bluetooth, usb",11,117.55, ,""," ","advance computer corp"
"barebones para pc","bbaio19amv20-b","all-in-one, 19.5, intel celeron j1800 2.41ghz, ddr3, sata.[@@@]incluye procesador ce",1,290.90, ,""," ","zz otras marcas"
"barebones para pc","bbinnuc10i7fnh1","mini barebone intel nuc10i7fnh1, intel core i7-10710u 1.10ghz, ddr4, usb 3.1.[@@@]2 r",10,614.00, ,""," ","intel corp"
"barebones para pc","bbinnuc5ppyh","mini barebone intel nuc5ppyh, intel pentium n37001.60ghz, ddr3l, usb 3.0.[@@@]1 ranur",10,165.70, ,""," ","intel corp"
"barebones para pc","bbinnuc7cjyh1","mini barebone intel nuc7cjyh1, intel celeron j4005 2.00ghz, ddr4, usb 3.0.[@@@]2 ranu",>20,138.40, ,""," ","intel corp"
"barebones para pc","bbinnuc7cjyh3","mini barebone intel nuc7cjyh, intel celeron j40052.00ghz, ddr4, usb 3.0.[@@@]2 ranura",8,136.40, ,""," ","intel corp"
"barebones para pc","bbinnuc7i5dnh1e","mini barebone intel nuc7i5dnh1e, intel core i5-7300u 2.60ghz, ddr4, sata.[@@@]2 ranur",1,471.50, ,""," ","intel corp"
"barebones para pc","bbinnuc8i5inhx","bb in nuc i5-8265u 1.60g 8g d4",>20,583.00, ,""," ","intel corp"
"barebones para pc","bbinnuc8i7hnk1","mini barebone intel nuc8i7hnk1, intel core i7-8705g 3.10ghz, ddr4, usb 3.1.[@@@]2 ran",15,845.00, ,""," ","intel corp"
"barebones para pc","bbpcadvrm338","barebone pc advance rm338, , soporta procesadores 2da / 3ra generación intel core i7 ",9,78.50, ,""," ","advance computer corp"
"barebones para pc","bbprtfirwl6x","firewall fw6c barebone intel core i5-7200u dc, 6 x ethernet intel gigabit 82583v, usb",2,585.00, ,""," ","protectli"
"barebones para pc","pcinnuc8i3cysm1","pc in nuc i3-8121u 2.2gz 8g 1t",>20,620.00, ,""," ","intel corp"
"barebones para pc","pcinuc8i3cysn1","mini barebone intel nuc8i3cysn1, intel core i3-8121u 2.20ghz, 4gb lpddr4, 1tb sata.[@",4,541.00, ,""," ","intel corp"
"_______________","_______________","__________________________________","__________"
" ","CODIGO","BICICLETA ELECTRICA","STOCK","PREC PUBLICO US $","FLETE ","MARCA"
"bicicleta electrica","arebikea17dblu","bicicleta eléctrica intense devices a1-7, aro 20, estructura de aluminio, 7 velocida",6,395.00, ,""," ","intense devices"
"bicicleta electrica","arebikea1sdblu","bicicleta eléctrica intense devices a1-s, aro 14, estructura de aluminio, 1 velocida",3,359.00, ,""," ","intense devices"
"bicicleta electrica","arebikea5dblu","bicicleta eléctrica intense devices a5, aro 24, estructura de aluminio, 1 velocidad.",4,393.00, ,""," ","intense devices"
"bicicleta electrica","arebikea5dblu-b","bicicleta eléctrica intense devices a5, aro 24, estructura de aluminio, 1 velocidad.",3,390.03, ,""," ","intense devices"
"_______________","_______________","__________________________________","__________"
" ","CODIGO","BLU RAY READER/ROM/CB EXT","STOCK","PREC PUBLICO US $","FLETE ","MARCA"
"blu ray reader/rom/cb ext","mmcrdvdbp50nb40","blu-ray/ dvd writer lg bp50nb40, 6x, slim, externo, portátil, usb 2.0.[@@@]",4,98.00, ,""," ","lg electronics"
"_______________","_______________","__________________________________","__________"
" ","CODIGO","CASES ATX P4 VER1.1","STOCK","PREC PUBLICO US $","FLETE ","MARCA"
"cases atx p4 ver1.1","csatxadv1060n","case advance adv1060, slim, 250w, negro, usb 3.0/2.0, audio.[@@@]conector 24/20 pines",2,27.00, ,""," ","advance computer corp"
"_______________","_______________","__________________________________","__________"
" ","CODIGO","CASES ATX VER2.0","STOCK","PREC PUBLICO US $","FLETE ","MARCA"
"cases atx ver2.0","csatxte1055b","case teros te1055, mid tower, atx, 600w, usb 2.0/usb 3.0, audio, negro/azul.[@@@]1 co",1,19.50, ,""," ","teros"
"cases atx ver2.0","csatxte1056b","case teros te1056, mid tower, atx, 600w, usb 2.0/usb 3.0, audio, negro/azul.[@@@]1 co",1,19.50, ,""," ","teros"
"cases atx ver2.0","csatxte1070n","case teros te1070n, mid tower, atx, 600w, usb 2.0, audio, negro.[@@@]1 conector 24/20",>20,18.50, ,""," ","teros"
"cases atx ver2.0","csatxte1071n","case teros te1071n, mid tower, atx, 600w, usb 2.0/ usb 3.0, audio, negro.[@@@]1 conec",>20,19.90, ,""," ","teros"
"cases atx ver2.0","csatxte1072n","case teros te1072n, mid tower, atx, 600w, usb 3.0/ 2.0, audio, negro.[@@@]1 conector ",>20,19.90, ,""," ","teros"
"cases atx ver2.0","csmatxadv17-kit","case advance 1701, 250w, 24/20pines, sata, usb 2.0, audio, negro, micro-atx.[@@@]",>20,29.69, ,""," ","advance computer corp"
"_______________","_______________","__________________________________","__________"
" ","CODIGO","CASES CON FUENTE P/GAMERS","STOCK","PREC PUBLICO US $","FLETE ","MARCA"
"cases con fuente p/gamers","csatxte1141n","case gamer teros te-1141n, mid tower, atx, 450w, negro, usb 3.0 / 2.0, audio.[@@@]pan",>20,45.00, ,""," ","teros"
"cases con fuente p/gamers","csatxte1142n","case gamer teros te-1142n, mid tower, atx, 450w, negro, usb 3.0 / 2.0, audio.[@@@]pan",>20,45.00, ,""," ","teros"
"_______________","_______________","__________________________________","__________"
" ","CODIGO","CASES SIN FUENTE P/GAMERS","STOCK","PREC PUBLICO US $","FLETE ","MARCA"
"cases sin fuente p/gamers","csasstrixhel-b","cs as atx rog strix helios rgb",1,255.00, ,""," ","asus"
"cases sin fuente p/gamers","csasstrixhelios","cs as atx rog strix helios rgb",9,259.50, ,""," ","asus"
"cases sin fuente p/gamers","csatastufgt5-b","case asus tuf gaming gt501",1,140.20, ,""," ","asus"
"cases sin fuente p/gamers","csatastufgt501","case asus tuf gaming gt501, mid tower, atx, negro, usb 3.1, audio.[@@@]panel lateral ",19,145.40, ,""," ","asus"
"cases sin fuente p/gamers","csatxnth400wbl","case gamer nztx h400i, mini tower, negro, usb 3.1gen1, audio, negro/azul.[@@@]panel t",13,98.21, ,""," ","nzxt"
"cases sin fuente p/gamers","csatxnth400wbr","case gamer nztx h400i, mini tower, negro, usb 3.1gen1, audio, negro/rojo.[@@@]panel t",>20,100.19, ,""," ","nzxt"
"cases sin fuente p/gamers","csatxnth400ww-b","case gamer nztx h400i, mini tower, negro, usb 3.1gen1, audio, blanco mate.[@@@]panel ",1,98.20, ,""," ","nzxt"
"cases sin fuente p/gamers","csatxnth400wwb","case gamer nztx h400i, mini tower, negro, usb 3.1gen1, audio, blanco mate.[@@@]panel ",16,100.27, ,""," ","nzxt"
"cases sin fuente p/gamers","csatxte1170n","case gamer teros te-1170n, mid tower, negro, usb 3.0 / 2.0, audio[@@@]panel lateral d",>20,31.00, ,""," ","teros"
"cases sin fuente p/gamers","csatxteparaoh","case gamer teros paraoh, mid tower, negro mate, usb 3.0, usb 2.0, audio.[@@@]panel la",3,59.50, ,""," ","teros"
"cases sin fuente p/gamers","csatxtevertigow","case gamer teros vertigo, tower, usb 3.0 / usb 2.0, audio hd, luces led rgb, blanco.[",1,36.34, ,""," ","teros"
"cases sin fuente p/gamers","cscor9011032","case gamer corsair carbide series 275r, mid tower, atx, usb 3.0, audio, negro.[@@@]pa",>20,71.50, ,""," ","corsair"
"cases sin fuente p/gamers","cscor9011033","case gamer corsair carbide series 275r, mid tower, atx, usb 3.0, audio, blanco.[@@@]p",15,71.50, ,""," ","corsair"
"cases sin fuente p/gamers","cscor9011135","case gamer corsair crystal 280x rgb , mid tower, atx, usb 3.0, audio, negro.[@@@]pane",1,147.50, ,""," ","corsair"
"cases sin fuente p/gamers","cscor9011137","case gamer corsair crystal 280x rgb , mid tower, atx, usb 3.0, audio, blanco.[@@@]pan",1,147.50, ,""," ","corsair"
"cases sin fuente p/gamers","cscor9011138","case corsair carbide spec 05 bk, mid tower, fan, negro, usb 3.0, audio.[@@@]panel lat",>20,43.50, ,""," ","corsair"
"cases sin fuente p/gamers","cscor9011166","case corsair carbide spec-delta rgb, mid tower, atx, negro, usb 3.0, audio.[@@@]panel",>20,56.50, ,""," ","corsair"
"cases sin fuente p/gamers","cscor9011168","case gamer corsair crystal 680x rgb, mid tower, atx, usb 3.1 / usb tipo-c, audio, neg",1,208.00, ,""," ","corsair"
"cases sin fuente p/gamers","cscor9011171bk","case gamer corsair carbide series 175r rgb, mid tower, atx, usb 3.1, audio, negro.[@@",9,52.00, ,""," ","corsair"
"cases sin fuente p/gamers","csmsforge100r","case msi atx mag forge 100r",4,64.20, ,""," ","msi"
"cases sin fuente p/gamers","csmsigungnir10","case msi mpg gungnir 100, argb, mid tower, atx, negro, usb 3.0, audio.[@@@]panel late",>20,89.80, ,""," ","msi"
"cases sin fuente p/gamers","csmsigungnir10d","case msi mpg gungnir 100d, mid tower, atx, negro,usb 3.0, audio.[@@@]panel lateral tr",>20,73.20, ,""," ","msi"
"cases sin fuente p/gamers","csmsigungnir10p","case msi mpg gungnir 100p, mid tower, atx, negro,usb 3.0, audio.[@@@]panel lateral tr",>20,69.85, ,""," ","msi"
"cases sin fuente p/gamers","csmsisekira500g","case msi mpg sekira 500g, mid tower, atx, negro, usb 3.2, audio.[@@@]panel lateral tr",>20,189.50, ,""," ","msi"
"cases sin fuente p/gamers","csmsisekira500p","case msi mpg sekira 500p",>20,163.90, ,""," ","msi"
"cases sin fuente p/gamers","csmsisekira500x","msi mpg sekira 500x",>20,203.00, ,""," ","msi"
"cases sin fuente p/gamers","csmsivampiric10","case msi mpg vampiric 010, argb, mid tower, atx, negro, usb 2.0 / usb 3.0 audio.[@@@]",>20,56.50, ,""," ","msi"
"cases sin fuente p/gamers","cstt1j700m1wn37","case thermaltake view 37 rgb, mid tower, negro, panel lateral transparente tipo l.[@@",12,113.00, ,""," ","thermaltake"
"cases sin fuente p/gamers","cstt1k700m1nn","cs tt v100 black",>20,24.50, ,""," ","thermaltake"
"cases sin fuente p/gamers","cstt1k800m1wn","case thermaltake v200 tempered glass rgb edition,mid tower, negro, usb 3.0, audio.[@@",>20,54.00, ,""," ","thermaltake"
"cases sin fuente p/gamers","cstt1l400m1wn","case thermaltake h100 tg, mid tower, negro, usb 3.0, audio.[@@@]panel lateral transpa",>20,43.00, ,""," ","thermaltake"
"cases sin fuente p/gamers","cstt1m300m1wn","case thermaltake h200 tg rgb, mid tower, negro, usb 3.0, audio.[@@@]panel lateral tra",>20,48.50, ,""," ","thermaltake"
"cases sin fuente p/gamers","cstt1m700m1wn","case thermaltake level 20 mt argb, mid tower, negro, usb 3.0, audio.[@@@]paneles tran",>20,68.00, ,""," ","thermaltake"
"cases sin fuente p/gamers","cstt1n200m1wn","case thermaltake commander c31 tempered glass argb, mid tower, negro, usb 3.0, audio.",>20,85.00, ,""," ","thermaltake"
"cases sin fuente p/gamers","cstt1n200m6wn","case thermaltake commander c31 tg snow argb, mid tower, blanco, usb 3.0, audio.[@@@]p",9,90.00, ,""," ","thermaltake"
"cases sin fuente p/gamers","cstt1n300m1wn","case thermaltake commander c32 tempered glass argb, mid tower, negro, usb 3.0, audio.",>20,92.00, ,""," ","thermaltake"
"cases sin fuente p/gamers","cstt1n400m1wn","case thermaltake commander c33 tempered glass argb, mid tower, negro, usb 3.0, audio.",>20,88.00, ,""," ","thermaltake"
"cases sin fuente p/gamers","cstt1n500m1wn","case thermaltake commander c34 tempered glass argb, mid tower, negro, usb 3.0, audio.",>20,83.50, ,""," ","thermaltake"
"_______________","_______________","__________________________________","__________"
" ","CODIGO","CASES, ACCESORIOS","STOCK","PREC PUBLICO US $","FLETE ","MARCA"
"cases, accesorios","accaxadds539usb","panel usb de case, advance ds-539, usb 2.0 / 3.0.[@@@]compatible con el case csaxdkad",7,4.60, ,""," ","advance computer corp"
"cases, accesorios","acccmcemb00xxbk","adaptador cooler master atx 24 pines, 90º, negro.[@@@]el adaptador atx 24 pin 90 ° ha",11,9.87, ,""," ","cooler master"
"cases, accesorios","acccmcemb01xxbk","adaptador cool master atx 24 pines, 90º, negro.[@@@]el adaptador atx 24 pin 90 ° ofre",11,12.83, ,""," ","cooler master"
"cases, accesorios","accmmlzn24lc2","sistema de refrigeración líquida cool master masterliquid maker 240, rgb, intel / amd",4,315.00, ,""," ","cooler master"
"cases, accesorios","accstchpyo4soem","cable extension sata power startech pyo4sata, 1 xsata power macho a 4 x sata power, 4",2,6.10, ,""," ","zz otras marcas"
"cases, accesorios","accttp064al12sw","enfriador de cpu thermaltake ux100 argb lighting,compatible con amd/intel.[@@@]socket",>20,16.00, ,""," ","thermaltake"
"cases, accesorios","accttp065al12sw","enfriador de cpu thermaltake ux200 argb lighting,compatible con amd/intel.[@@@]socket",>20,26.50, ,""," ","thermaltake"
"cases, accesorios","acnthpl0310","kit de extensión nzxt hue+, led rgb, cables de 30cm y 10 cm, cinta de doble pega.[@@@",>20,13.58, ,""," ","nzxt"
"cases, accesorios","acnthuepsm1","control digital nzxt hue+, iluminación avanzada para pc con controles digitales cam.[",>20,40.21, ,""," ","nzxt"
"cases, accesorios","actt032cn5nanpb","kit de cable thermaltake con mango individual - azul.[@@@]mayor flexibilidad y gestió",3,59.30, ,""," ","thermaltake"
"cases, accesorios","cscmu000rcls000","universal led strip cool master rgb, 4 pines, 22 cm, soporte magnético, cable de 40 c",>20,12.80, ,""," ","cooler master"
